,Hydro,PumpedStorage,Nuclear,Coal,FuelGas,DieselEngines,GasTurbine,SteamTurbine,CombinedCycle,Hydroeolian,Wind,SolarPhotovoltaic,ThermalSolar,OtherRenewables,Cogeneration,NonRenewableWaste,RenewableWaste,TotalGeneration,year,month
2019-10,1122327.8829999994,116030.75,4530668.762,866157.862,-0.001,245159.3039999999,44678.867,170575.942,5979694.438,1582.837,3809598.4999999935,794698.796,303085.257,311601.32599999977,2496488.405999995,184614.71550000008,77242.50149999995,21054206.145999987,2019,10
2019-11,2663333.1380000007,172106.382,3427526.295,676648.0629999997,,210765.94900000008,47465.714,184815.523,4192460.766,2096.522,7458615.234999994,525695.997,69970.612,309135.9880000004,2471281.283999997,158921.44749999998,74487.9415,22645326.857,2019,11
2019-12,4639208.858,321942.702,4349890.213,511833.41000000073,,224382.08399999997,37119.115,169188.099,3154649.331,1159.67,5477398.145999997,518035.794,68978.175,301056.1010000004,2346120.9220000007,169956.67449999996,74301.73350000003,22365221.028,2019,12
2020-01,3729343.833000002,233778.898,5289146.024,865887.0040000001,,236418.96100000004,38932.289,146918.518,3856118.343,824.55,4626864.397999995,625344.395,85967.851,335311.7489999999,2440531.494000001,167343.0039999998,64550.73900000005,22743282.050000004,2020,1
2020-02,2838605.4069999997,229837.141,4885683.024,821301.7809999997,,211700.3359999999,39258.754,128349.147,2893614.171,1338.515,4271307.757999998,973416.316,227955.996,347616.9059999996,2235304.298999996,170035.27699999983,62468.23199999993,20337793.05999999,2020,2
2020-03,3114061.3329999987,303523.791,5174945.115,474782.5359999999,0.001,180956.06800000023,31141.695,114048.723,1910683.244,1823.614,5601202.209000002,1067169.174,235967.42,346296.30500000017,2236957.267,177174.84099999993,62466.01000000008,21033199.346000005,2020,3
2020-04,2862374.6119999983,314350.975,4085604.789,305139.6709999999,,166203.94999999992,15716.701,98923.324,2167513.46,991.125,3694767.1840000018,1148584.616,206865.437,337757.79300000006,1928811.8750000005,139531.33050000027,35046.8725,17508183.715,2020,4
2020-05,2860260.0699999994,243639.892,3078957.761,242763.4800000002,-0.001,178043.91499999978,18944.309,116068.453,2440445.298,1442.708,3964682.318999997,1636763.284,552484.751,387289.8769999999,2087155.8849999984,145362.7910000002,36650.93399999997,17990955.725999996,2020,5
2020-06,2266422.7580000036,152410.343,3621381.286,361459.59199999983,0.0,172199.77200000008,24670.181,83296.143,4006528.209,742.628,3343977.0269999993,1797697.293,711646.848,380007.9940000002,2189672.425000002,149096.14549999993,42313.55449999999,19303522.199,2020,6
2020-07,1838035.0280000016,167160.95,5159005.855,301768.79199999996,,211042.7680000001,48753.217,114332.13,6317818.803,3652.422,4249554.119999998,1903210.827,796172.042,349559.70100000076,2304163.451000003,141081.1175,43134.66050000001,23948445.884000007,2020,7
2020-08,1889516.843999997,158855.13,5151917.422,337165.7439999993,0.0,242788.221,54511.055,127712.586,5529268.472,3575.741,3675599.610000005,1817834.95,744541.661,368818.25699999975,2194300.447000003,190290.14300000004,77364.101,22564060.384000003,2020,8
2020-09,1671696.3690000013,187667.328,4871209.402,351029.93800000014,0.0,212204.26299999995,36880.594,98396.694,4978688.966,1911.898,4055166.308,1460463.968,452159.233,396083.0809999998,2310158.759999999,188784.34700000027,73396.9440000001,21345898.092999995,2020,9
2020-10,1905809.840999999,233257.852,4530276.466,304480.32800000015,,189338.091,41581.658,128214.5,3185044.239,1456.723,5772605.190000007,1314953.592,340274.709,415369.6360000004,2354012.256999997,163563.49150000012,71782.6875,20952021.261,2020,10
